ipeds_id,academic_year,data_source,tuition_in_state,tuition_out_state,required_fees,tuition_fees_in_state,tuition_fees_out_state,room_board_on_campus,room_board_off_campus,books_supplies,personal_expenses,transportation,has_tuition_data,has_fees_data,data_completeness_score,validation_issues,validation_status
199494,2023-24,IC2023_AY,2064,2064,1800,3864,3864,,,16196,8256,8526,TRUE,TRUE,80,,clean
199582,2023-24,IC2023_AY,16896,16896,1000,17896,17896,10376,5505,8942,5280,3825,TRUE,TRUE,100,,clean
199607,2023-24,IC2023_AY,32236,32236,1336,33572,33572,13056,5740,12540,2974,2974,TRUE,TRUE,100,,clean
199625,2023-24,IC2023_AY,2830,2830,2952,5782,5782,,,11516,9120,5590,TRUE,TRUE,80,,clean
199634,2023-24,IC2023_AY,2040,2040,868,2908,2908,,,15018,7612,7612,TRUE,TRUE,80,,clean
199643,2023-24,IC2023_AY,17176,17176,1300,18476,18476,8940,3440,8100,4390,4390,TRUE,TRUE,100,,clean
199698,2023-24,IC2023_AY,30800,30800,2100,32900,32900,12180,6306,5248,9364,9364,TRUE,TRUE,100,,clean
199722,2023-24,IC2023_AY,2600,2600,1799,4399,4399,,,9450,5080,5080,TRUE,TRUE,80,,clean
199731,2023-24,IC2023_AY,5806,5806,1460,7266,7266,,,13410,3300,2760,TRUE,TRUE,80,,clean
199740,2023-24,IC2023_AY,2672,2672,1364,4036,4036,,,8809,7810,7810,TRUE,TRUE,80,,clean
199759,2023-24,IC2023_AY,10646,10646,800,11446,11446,7469,3717,13160,3717,3717,TRUE,TRUE,100,,clean
199768,2023-24,IC2023_AY,2545,2545,1700,4245,4245,,,10125,4125,8275,TRUE,TRUE,80,,clean
199786,2023-24,IC2023_AY,2528,2528,4556,7084,7084,,,13452,10265,11124,TRUE,TRUE,80,,clean
199795,2023-24,IC2023_AY,2363,2363,1375,3738,3738,,,8190,5531,6043,TRUE,TRUE,80,,clean
199838,2023-24,IC2023_AY,1956,1956,1625,3581,3581,,,8269,7308,5607,TRUE,TRUE,80,,clean
199847,2023-24,IC2023_AY,64758,64758,1630,66388,66388,17848,3320,17848,3320,2880,TRUE,TRUE,100,,clean
199856,2023-24,IC2023_AY,2336,2336,1756,4092,4092,,,10134,9279,9279,TRUE,TRUE,80,,clean
199865,2023-24,IC2023_AY,40290,40290,850,41140,41140,12610,3230,15535,4900,9435,TRUE,TRUE,100,,clean
199883,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
199892,2023-24,IC2023_AY,2524,2524,1600,4124,4124,,,9550,3850,3850,TRUE,TRUE,80,,clean
199908,2023-24,IC2023_AY,2650,2650,1200,3850,3850,,,7937,9545,9545,TRUE,TRUE,80,,clean
199926,2023-24,IC2023_AY,2572,2572,1700,4272,4272,,,5890,4616,4616,TRUE,TRUE,80,,clean
